mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
250,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,KI,KIR,,,,X,,E,,X,,,,KI,KIR,296,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,530,,812,,KIRIBA,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GL,,,,,X,,K,,X,,,,GL,GRL,304,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,126,,406,,GROENL,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
000,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
001,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
050,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GD,WG,,,,X,,E,,X,,,,GD,GRD,308,,,,,,15,5,,,,4,11,1,,,,,,,,,,,,,,340,,473,,GRENAD,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
